date,em_avg_cpi,dm_avg_cpi,em_dm_gap,min_p_value,regime
2015-01-01,4.49,0.36,4.13,0.0046,ACTIVE
2015-02-01,4.13,0.4,3.73,0.0017,ACTIVE
2015-03-01,4.09,0.58,3.52,0.0074,ACTIVE
2015-04-01,3.96,0.4,3.56,0.0071,ACTIVE
2015-05-01,3.98,0.61,3.37,0.0103,ACTIVE
2015-06-01,4.15,0.46,3.69,0.0097,ACTIVE
2015-07-01,3.99,0.47,3.52,0.0149,ACTIVE
2015-08-01,3.9,0.39,3.51,0.0126,ACTIVE
2015-09-01,3.87,0.22,3.65,0.0021,ACTIVE
2015-10-01,4.07,0.41,3.66,0.01,ACTIVE
2015-11-01,4.19,0.27,3.92,0.0165,ACTIVE
2015-12-01,4.12,0.37,3.75,0.0137,ACTIVE
2016-01-01,4.22,0.51,3.71,0.0171,ACTIVE
2016-02-01,4.22,0.29,3.93,0.0089,ACTIVE
2016-03-01,4.01,0.34,3.67,0.0042,ACTIVE
2016-04-01,4.07,0.23,3.84,0.004,ACTIVE
2016-05-01,4.18,0.25,3.93,0.0064,ACTIVE
2016-06-01,4.06,0.41,3.65,0.0096,ACTIVE
2016-07-01,4.07,0.41,3.66,0.011,ACTIVE
2016-08-01,4.05,0.43,3.62,0.0299,ACTIVE
2016-09-01,3.83,0.69,3.14,0.0284,ACTIVE
2016-10-01,3.75,0.86,2.89,0.0313,ACTIVE
2016-11-01,3.59,1.04,2.55,0.023,ACTIVE
2016-12-01,3.51,1.31,2.2,0.0234,ACTIVE
2017-01-01,3.51,1.64,1.86,0.0187,ACTIVE
2017-02-01,3.59,1.78,1.81,0.0004,ACTIVE
2017-03-01,3.52,1.57,1.95,0.0,ACTIVE
2017-04-01,3.42,1.71,1.71,0.0006,ACTIVE
2017-05-01,3.27,1.43,1.84,0.0007,ACTIVE
2017-06-01,3.22,1.4,1.81,0.0014,ACTIVE
2017-07-01,3.22,1.44,1.78,0.0014,ACTIVE
2017-08-01,3.34,1.64,1.7,0.002,ACTIVE
2017-09-01,3.47,1.75,1.71,0.0027,ACTIVE
2017-10-01,3.45,1.54,1.92,0.0057,ACTIVE
2017-11-01,3.54,1.69,1.85,0.0046,ACTIVE
2017-12-01,3.64,1.72,1.92,0.0023,ACTIVE
2018-01-01,3.55,1.83,1.72,0.0068,ACTIVE
2018-02-01,3.39,1.73,1.66,0.005,ACTIVE
2018-03-01,3.22,1.84,1.38,0.0174,MARGINAL
2018-04-01,3.26,1.68,1.57,0.0092,ACTIVE
2018-05-01,3.2,2.12,1.08,0.0044,MARGINAL
2018-06-01,3.41,2.05,1.36,0.0049,MARGINAL
2018-07-01,3.82,2.18,1.64,0.0048,ACTIVE
2018-08-01,3.71,2.21,1.5,0.0025,MARGINAL
2018-09-01,3.78,2.07,1.71,0.0008,ACTIVE
