date,em_avg_cpi,dm_avg_cpi,em_dm_gap,min_p_value,regime
2015-01-01,4.76,1.48,3.28,0.0043,ACTIVE
2015-02-01,4.47,1.26,3.2,0.0026,ACTIVE
2015-03-01,4.25,1.15,3.1,0.0093,ACTIVE
2015-04-01,4.15,1.15,2.99,0.0079,ACTIVE
2015-05-01,4.16,0.93,3.23,0.0175,ACTIVE
2015-06-01,4.24,0.99,3.26,0.0184,ACTIVE
2015-07-01,4.25,0.89,3.36,0.0122,ACTIVE
2015-08-01,4.15,0.83,3.32,0.0156,ACTIVE
2015-09-01,4.03,0.72,3.32,0.0153,ACTIVE
2015-10-01,4.0,0.7,3.3,0.008,ACTIVE
2015-11-01,4.0,0.67,3.33,0.0102,ACTIVE
2015-12-01,3.84,0.61,3.23,0.0011,ACTIVE
2016-01-01,3.82,0.71,3.11,0.0008,ACTIVE
2016-02-01,3.75,0.8,2.96,0.0006,ACTIVE
2016-03-01,3.7,0.77,2.93,0.0002,ACTIVE
2016-04-01,3.65,0.71,2.93,0.0014,ACTIVE
2016-05-01,3.62,0.68,2.95,0.003,ACTIVE
2016-06-01,3.67,0.59,3.09,0.0029,ACTIVE
2016-07-01,3.63,0.42,3.2,0.0022,ACTIVE
2016-08-01,3.71,0.5,3.21,0.002,ACTIVE
2016-09-01,3.76,0.62,3.15,0.0033,ACTIVE
2016-10-01,3.82,0.68,3.14,0.0031,ACTIVE
2016-11-01,3.8,0.65,3.15,0.0188,ACTIVE
2016-12-01,3.87,0.63,3.24,0.0091,ACTIVE
2017-01-01,3.79,0.71,3.07,0.0126,ACTIVE
2017-02-01,3.83,0.71,3.12,0.0049,ACTIVE
2017-03-01,3.62,0.79,2.83,0.0022,ACTIVE
2017-04-01,3.57,1.04,2.53,0.0007,ACTIVE
2017-05-01,3.56,1.18,2.38,0.0007,ACTIVE
2017-06-01,3.6,1.35,2.25,0.0005,ACTIVE
2017-07-01,3.69,1.21,2.48,0.0005,ACTIVE
2017-08-01,3.71,1.37,2.34,0.0005,ACTIVE
2017-09-01,3.68,1.34,2.34,0.0005,ACTIVE
2017-10-01,3.62,1.21,2.41,0.0017,ACTIVE
2017-11-01,3.63,1.09,2.55,0.0011,ACTIVE
2017-12-01,3.65,1.14,2.51,0.0001,ACTIVE
2018-01-01,3.5,1.39,2.12,0.0006,ACTIVE
2018-02-01,3.48,1.5,1.99,0.0018,ACTIVE
2018-03-01,3.44,1.58,1.86,0.0012,ACTIVE
2018-04-01,3.57,1.69,1.88,0.0037,ACTIVE
2018-05-01,3.44,1.91,1.52,0.0079,ACTIVE
2018-06-01,3.38,2.03,1.36,0.012,MARGINAL
2018-07-01,3.46,1.99,1.47,0.0136,MARGINAL
2018-08-01,3.38,2.08,1.29,0.0173,MARGINAL
2018-09-01,3.43,2.11,1.32,0.0307,MARGINAL
2018-10-01,3.51,2.09,1.41,0.0249,MARGINAL
2018-11-01,3.6,2.15,1.45,0.0509,MARGINAL
2018-12-01,3.43,2.08,1.35,0.0232,MARGINAL
2019-01-01,3.46,1.98,1.48,0.0338,MARGINAL
2019-02-01,3.53,1.89,1.64,0.0091,ACTIVE
2019-03-01,3.43,1.94,1.49,0.0131,MARGINAL
2019-04-01,3.45,1.85,1.6,0.0196,ACTIVE
2019-05-01,3.37,1.76,1.61,0.0467,ACTIVE
2019-06-01,3.35,1.89,1.46,0.068,MARGINAL
2019-07-01,3.41,1.9,1.52,0.0685,MARGINAL
2019-08-01,3.36,1.96,1.4,0.0139,MARGINAL
2019-09-01,3.22,1.8,1.42,0.0078,MARGINAL
